orderID,dateOfOrderPlacement,dateOfOrderArrival,licenseNumber
1,2016-07-30 22:04:12,2020-10-31 09:55:03,681
2,2015-06-19 16:43:04,2020-08-22 02:40:41,141
3,2017-05-17 08:29:04,2021-02-06 07:52:06,576
4,2017-02-07 11:00:04,2020-10-15 08:49:41,832
5,2017-01-03 11:12:24,2020-04-12 15:35:02,132
6,2017-07-13 01:23:40,2018-06-27 21:10:40,110
7,2018-05-20 18:08:53,2021-03-31 18:27:45,140
8,2015-07-11 07:21:30,2018-06-12 19:36:31,705
9,2017-02-19 20:10:03,2019-01-18 04:10:36,787
10,2018-02-27 07:31:07,2021-04-26 13:57:46,247
11,2017-09-19 15:53:57,2018-12-01 03:38:39,925
12,2018-04-16 22:11:08,2018-12-23 18:07:21,283
13,2017-02-03 18:25:35,2021-02-03 16:17:09,93
14,2017-02-18 20:57:36,2021-03-10 11:30:55,641
15,2017-08-07 08:21:28,2020-03-13 02:55:11,529
16,2017-03-20 19:30:15,2020-10-24 22:24:03,340
17,2017-08-03 04:26:38,2021-01-15 17:05:18,56
18,2016-04-06 10:46:55,2018-09-07 14:47:02,453
19,2016-04-14 00:15:21,2021-05-19 15:04:52,227
20,2015-07-16 06:30:01,2020-10-08 04:49:10,358
21,2016-08-25 06:57:08,2019-03-07 21:15:28,836
22,2017-05-21 14:38:30,2020-04-12 19:17:38,891
23,2017-08-18 04:25:16,2019-07-28 08:31:06,736
24,2015-08-05 08:43:19,2020-11-16 12:55:53,817
25,2016-07-18 19:11:39,2020-04-08 01:10:55,86
26,2018-02-11 00:20:53,2019-03-28 15:41:44,989
27,2016-02-06 00:51:16,2019-04-25 20:11:47,548
28,2018-01-16 00:36:19,2019-10-11 05:02:13,495
29,2016-12-02 18:50:56,2020-01-04 22:11:00,36
30,2017-08-12 21:40:08,2019-04-13 12:17:27,778
31,2017-08-28 19:07:39,2019-11-24 08:04:50,380
32,2016-04-28 11:27:47,2021-02-12 10:22:39,255
33,2017-03-04 05:26:32,2020-09-04 02:35:36,676
34,2016-09-03 19:48:53,2019-07-22 20:06:02,169
35,2016-06-24 18:49:08,2020-05-24 07:00:48,41
36,2017-08-01 19:48:43,2021-05-18 07:25:04,678
37,2017-06-10 07:10:14,2020-01-14 17:24:03,963
38,2015-12-23 19:55:28,2020-04-20 05:09:21,137
39,2017-02-06 01:01:30,2019-10-26 04:10:25,529
40,2017-07-19 11:58:13,2020-10-23 12:31:26,739
41,2015-12-06 03:26:30,2020-07-01 20:02:06,304
42,2015-07-28 05:32:09,2020-07-11 21:28:10,584
43,2018-03-21 22:09:19,2018-11-12 10:22:59,60
44,2016-10-12 14:02:15,2020-11-29 03:06:48,996
45,2017-10-25 22:50:00,2020-12-27 20:27:04,412
46,2017-12-30 08:56:51,2021-03-11 11:23:07,401
47,2018-02-08 23:23:24,2018-09-27 06:52:49,529
48,2017-07-20 22:10:30,2018-12-22 15:34:50,691
49,2018-02-11 05:08:29,2020-05-09 20:30:04,78
50,2017-09-27 19:41:36,2020-07-23 06:08:00,406
51,2017-05-16 06:27:19,2019-09-09 08:07:52,518
52,2016-08-31 09:20:01,2019-08-27 04:34:59,628
53,2017-08-30 03:40:46,2019-05-16 00:56:53,93
54,2018-02-07 05:17:53,2021-01-17 05:23:58,496
55,2016-10-08 00:48:33,2020-01-22 11:08:53,891
56,2016-05-27 15:54:39,2019-02-25 02:12:29,334
57,2017-10-15 04:49:45,2019-04-06 21:42:54,798
58,2015-07-16 20:04:31,2018-09-06 07:55:07,424
59,2015-09-24 16:21:30,2019-04-04 07:01:54,638
60,2017-07-03 07:31:07,2018-10-30 03:47:11,53
